id,category
26266,Apparel Set
22134,Apparel Set
28358,Scarves
15554,Flip Flops
53408,Free Gifts
39001,Flip Flops
14647,Apparel Set
47567,Saree
13816,Ties
10025,Flip Flops
21235,Free Gifts
12425,Apparel Set
56036,Bags
32840,Free Gifts
17670,Dress
16138,Innerwear
55520,Ties
26464,Ties
23952,Fragrance
40544,Flip Flops
50990,Eyewear
32326,Apparel Set
55907,Fragrance
42666,Scarves
21496,Scarves
46393,Apparel Set
38568,Jewellery
10352,Flip Flops
8117,Jewellery
11086,Apparel Set
18032,Apparel Set
50402,Jewellery
12754,Bottomwear
31581,Fragrance
34593,Apparel Set
15496,Saree
29106,Ties
37240,Innerwear
22750,Ties
3485,Flip Flops
34409,Apparel Set
6066,Apparel Set
23929,Jewellery
7723,Apparel Set
10714,Ties
52059,Apparel Set
2603,Topwear
48258,Apparel Set
55653,Apparel Set
10599,Jewellery
52148,Ties
25462,Socks
51663,Free Gifts
9405,Apparel Set
21290,Apparel Set
3306,Flip Flops
5864,Innerwear
4765,Fragrance
28267,Free Gifts
3693,Ties
56109,Flip Flops
46972,Topwear
52072,Flip Flops
29975,Flip Flops
47199,Bottomwear
59574,Flip Flops
16936,Apparel Set
50550,Fragrance
12568,Apparel Set
40166,Ties
8776,Apparel Set
15897,Ties
16932,Apparel Set
26066,Topwear
3254,Ties
8868,Apparel Set
6572,Apparel Set
11105,Belts
42024,Apparel Set
55113,Flip Flops
20023,Apparel Set
34111,Apparel Set
11692,Apparel Set
20242,Apparel Set
22295,Ties
13289,Belts
33439,Fragrance
43370,Ties
39790,Saree
30339,Flip Flops
58658,Apparel Set
25700,Apparel Set
1933,Flip Flops
36290,Flip Flops
42104,Belts
16953,Apparel Set
9071,Flip Flops
54928,Free Gifts
5875,Flip Flops
56817,Apparel Set
45276,Flip Flops
28563,Ties
50736,Sandal
25647,Belts
28391,Loungewear and Nightwear
15502,Apparel Set
1983,Flip Flops
6903,Jewellery
7060,Nails
12429,Apparel Set
35996,Fragrance
11022,Flip Flops
15338,Apparel Set
13397,Socks
4507,Jewellery
23463,Apparel Set
49011,Flip Flops
44705,Socks
30566,Apparel Set
12493,Jewellery
30783,Apparel Set
20140,Ties
5684,Jewellery
9115,Loungewear and Nightwear
7679,Free Gifts
12850,Apparel Set
9796,Apparel Set
30713,Belts
52912,Shoes
