id,category
26266,Topwear
22134,Topwear
28358,Belts
15554,Shoes
53408,Innerwear
39001,Shoes
14647,Topwear
47567,Eyewear
13816,Watches
10025,Shoes
21235,Innerwear
12425,Topwear
56036,Ties
32840,Innerwear
17670,Socks
16138,Wallets
55520,Watches
26464,Watches
23952,Bottomwear
40544,Shoes
50990,Nails
32326,Topwear
55907,Bottomwear
42666,Belts
21496,Belts
46393,Topwear
38568,Bags
10352,Shoes
8117,Bags
11086,Topwear
18032,Topwear
50402,Bags
12754,Dress
31581,Bottomwear
34593,Topwear
15496,Eyewear
29106,Watches
37240,Wallets
22750,Watches
3485,Shoes
34409,Topwear
6066,Topwear
23929,Bags
7723,Topwear
10714,Watches
52059,Topwear
2603,Flip Flops
48258,Topwear
55653,Topwear
10599,Bags
52148,Watches
25462,Saree
51663,Innerwear
9405,Topwear
21290,Topwear
3306,Shoes
5864,Wallets
4765,Bottomwear
28267,Innerwear
3693,Watches
56109,Shoes
46972,Flip Flops
52072,Shoes
29975,Shoes
47199,Dress
59574,Shoes
16936,Topwear
50550,Bottomwear
12568,Topwear
40166,Watches
8776,Topwear
15897,Watches
16932,Topwear
26066,Flip Flops
3254,Watches
8868,Topwear
6572,Topwear
11105,Fragrance
42024,Topwear
55113,Shoes
20023,Topwear
34111,Topwear
11692,Topwear
20242,Topwear
22295,Watches
13289,Fragrance
33439,Bottomwear
43370,Watches
39790,Eyewear
30339,Shoes
58658,Topwear
25700,Topwear
1933,Shoes
36290,Flip Flops
42104,Fragrance
16953,Topwear
9071,Shoes
54928,Innerwear
5875,Shoes
56817,Topwear
45276,Shoes
28563,Watches
50736,Cufflinks
25647,Fragrance
28391,Loungewear and Nightwear
15502,Topwear
1983,Shoes
6903,Bags
7060,Sandal
12429,Topwear
35996,Bottomwear
11022,Shoes
15338,Topwear
13397,Saree
4507,Bags
23463,Topwear
49011,Shoes
44705,Saree
30566,Topwear
12493,Bags
30783,Topwear
20140,Watches
5684,Bags
9115,Loungewear and Nightwear
7679,Innerwear
12850,Topwear
9796,Topwear
30713,Fragrance
52912,Headwear
35481,Bottomwear
9854,Topwear
9191,Topwear
39764,Topwear
10795,Topwear
56688,Topwear
21902,Shoes
46688,Bags
20929,Sandal
5352,Topwear
25789,Topwear
59296,Topwear
54650,Shoes
34946,Jewellery
15651,Topwear
15558,Topwear
29036,Topwear
15990,Nails
46280,Topwear
28014,Bags
15741,Topwear
13576,Innerwear
45194,Bags
23531,Topwear
22367,Loungewear and Nightwear
44905,Topwear
25703,Shoes
25917,Eyewear
27717,Bottomwear
10594,Topwear
55901,Topwear
2195,Watches
59370,Fragrance
14602,Nails
47096,Bags
6069,Topwear
42893,Topwear
16861,Sandal
55151,Nails
18991,Innerwear
3664,Dress
10145,Topwear
59514,Topwear
49373,Topwear
40745,Bags
1548,Watches
43874,Topwear
50642,Bags
31361,Topwear
18036,Topwear
17502,Topwear
58590,Sandal
50325,Topwear
11273,Topwear
2361,Saree
2901,Watches
35395,Fragrance
5691,Topwear
35707,Lips
51438,Topwear
29201,Flip Flops
13363,Socks
7863,Wallets
59326,Shoes
32112,Lips
23571,Topwear
56273,Topwear
15028,Topwear
22402,Nails
27625,Topwear
6499,Bottomwear
22736,Innerwear
40639,Topwear
46246,Flip Flops
15468,Bags
31683,Fragrance
55177,Bags
12092,Topwear
33535,Topwear
52463,Bags
12062,Cufflinks
34273,Watches
9521,Bags
14911,Shoes
15858,Innerwear
9202,Shoes
13129,Shoes
50470,Topwear
55866,Fragrance
25594,Topwear
40422,Topwear
37412,Flip Flops
25419,Topwear
38922,Bags
26132,Topwear
42635,Shoes
27290,Shoes
9166,Shoes
16358,Topwear
33368,Scarves
13205,Watches
32183,Innerwear
50386,Topwear
40427,Topwear
31258,Watches
5026,Watches
33960,Wallets
57185,Topwear
58131,Shoes
12444,Watches
7785,Topwear
25404,Shoes
4242,Topwear
12867,Topwear
53635,Fragrance
38572,Shoes
53434,Bags
25776,Topwear
3357,Topwear
29127,Topwear
6792,Sandal
43099,Jewellery
57432,Shoes
3607,Shoes
5575,Topwear
6524,Shoes
47401,Topwear
45131,Topwear
31175,Topwear
58646,Bags
5300,Shoes
51654,Fragrance
29942,Bags
38427,Topwear
27469,Innerwear
39622,Shoes
36466,Belts
53053,Watches
31837,Topwear
56585,Shoes
51887,Fragrance
20483,Dress
3081,Topwear
42626,Shoes
43357,Topwear
31247,Topwear
23198,Flip Flops
34276,Topwear
54690,Topwear
42198,Ties
9660,Shoes
40415,Watches
15334,Topwear
33430,Topwear
47022,Bottomwear
13321,Topwear
4220,Topwear
31238,Shoes
30560,Topwear
39945,Socks
11282,Bottomwear
30861,Shoes
56392,Topwear
51369,Topwear
28744,Flip Flops
9402,Bottomwear
5800,Topwear
50754,Socks
11579,Shoes
46045,Bottomwear
40254,Shoes
32187,Apparel Set
5189,Shoes
18296,Topwear
53567,Shoes
51690,Topwear
34631,Dress
51101,Shoes
29420,Topwear
48655,Shoes
33981,Wallets
19238,Shoes
52369,Shoes
13247,Topwear
43861,Topwear
36127,Topwear
46287,Innerwear
6591,Socks
3523,Topwear
39146,Topwear
49635,Watches
35104,Headwear
8181,Topwear
15240,Topwear
3814,Watches
51915,Fragrance
43375,Shoes
39594,Jewellery
14859,Topwear
3027,Shoes
8450,Eyewear
28260,Watches
19061,Topwear
6374,Shoes
18469,Bags
50485,Topwear
35912,Lips
13764,Topwear
40987,Topwear
59654,Saree
24818,Topwear
45420,Saree
33863,Nails
6590,Topwear
51617,Saree
54518,Shoes
11706,Bags
24220,Topwear
3314,Shoes
24153,Topwear
6169,Bottomwear
10709,Bags
24150,Topwear
17982,Shoes
34336,Shoes
27450,Topwear
46790,Watches
29558,Topwear
36711,Accessories
44072,Bags
53836,Shoes
38151,Shoes
11516,Topwear
46796,Topwear
4667,Topwear
41022,Topwear
25970,Dress
36323,Topwear
27223,Watches
52381,Wallets
42237,Belts
11011,Bottomwear
45838,Topwear
16989,Shoes
22686,Wallets
22487,Nails
3329,Eyewear
50584,Loungewear and Nightwear
6612,Shoes
33609,Topwear
34125,Bags
19045,Topwear
41455,Socks
